utterance,loglikelihood
words-BABEL-BP-101-16266-20111027-153525-outLine-290-34-297-66,-17.753602739726027
words-BABEL-BP-101-16266-20111027-153525-outLine-297-66-302-88,-91.37478846153846
words-BABEL-BP-101-16266-20111027-153525-outLine-302-88-309-84,-17.568072463768114
words-BABEL-BP-101-16266-20111027-153525-outLine-309-84-317-59,
words-BABEL-BP-101-16266-20111027-153525-outLine-317-59-322-99,-17.28743888888889
words-BABEL-BP-101-16266-20111027-153525-outLine-322-99-327-98,
words-BABEL-BP-101-16266-20111027-153525-outLine-327-98-335-88,
words-BABEL-BP-101-16266-20111027-153525-outLine-335-88-339-07,-18.925851612903227
words-BABEL-BP-101-16266-20111027-153525-outLine-345-62-351-61,
words-BABEL-BP-101-16266-20111027-153525-outLine-351-61-357-77,-97.03940983606559
words-BABEL-BP-101-16266-20111027-153525-outLine-357-77-363-06,-81.7674423076923
words-BABEL-BP-101-16266-20111027-153525-outLine-367-48-370-96,
words-BABEL-BP-101-16266-20111027-153525-outLine-370-96-375-96,-94.97484
words-BABEL-BP-101-16266-20111027-153525-outLine-375-96-380-51,
words-BABEL-BP-101-16266-20111027-153525-outLine-380-51-385-53,-82.96202
words-BABEL-BP-101-16266-20111027-153525-outLine-389-05-394-1,
words-BABEL-BP-101-16266-20111027-153525-outLine-394-1-400-26,-18.643081967213117
words-BABEL-BP-101-16266-20111027-153525-outLine-400-26-403-69,-95.14111764705882
words-BABEL-BP-101-16266-20111027-153525-outLine-403-69-410-1,-95.130546875
words-BABEL-BP-101-16266-20111027-153525-outLine-414-85-420-55,
words-BABEL-BP-101-16266-20111027-153525-outLine-420-55-427-77,-95.10708333333334
words-BABEL-BP-101-16266-20111027-153525-outLine-443-49-447-26,-96.12713513513513
words-BABEL-BP-101-16266-20111027-153525-outLine-447-26-453-57,-17.69947619047619
words-BABEL-BP-101-16266-20111027-153525-outLine-457-08-463-4,
words-BABEL-BP-101-16266-20111027-153525-outLine-463-4-470-19,-92.81629850746269
words-BABEL-BP-101-16266-20111027-153525-outLine-470-19-473-54,-96.29512121212122
words-BABEL-BP-101-16266-20111027-153525-outLine-473-54-477-33,
words-BABEL-BP-101-16266-20111027-153525-outLine-477-33-481-47,
words-BABEL-BP-101-16266-20111027-153525-outLine-518-5-522-14,-92.26569444444445
words-BABEL-BP-101-16266-20111027-153525-outLine-522-14-528-37,-18.09122580645161
words-BABEL-BP-101-16266-20111027-153525-outLine-528-37-534-7,-81.26282539682539
words-BABEL-BP-101-16266-20111027-153525-outLine-534-7-539-45,-95.64712765957447
words-BABEL-BP-101-16266-20111027-153525-outLine-539-45-547-4,
words-BABEL-BP-101-16266-20111027-153525-outLine-547-4-555-64,-18.482768292682927
words-BABEL-BP-101-16266-20111027-153525-outLine-555-64-562-92,
words-BABEL-BP-101-16266-20111027-153525-outLine-562-92-565-98,-19.35323
words-BABEL-BP-101-16266-20111027-153525-outLine-570-05-577-73,-18.210302631578948
words-BABEL-BP-101-16266-20111027-153525-outLine-581-33-588-86,-95.36712
words-BABEL-BP-101-16266-20111027-153525-outLine-588-86-594-48,
words-BABEL-BP-101-90393-20111103-165919-outLine-13-04-17-64,-32.33345652173913
words-BABEL-BP-101-90393-20111103-165919-outLine-17-64-24-27,-40.17890909090909
words-BABEL-BP-101-90393-20111103-165919-outLine-24-27-29-41,-49.8478431372549
words-BABEL-BP-101-90393-20111103-165919-outLine-34-79-43-34,-46.30198823529412
words-BABEL-BP-101-90393-20111103-165919-outLine-51-5-56-13,-45.2440652173913
words-BABEL-BP-101-90393-20111103-165919-outLine-56-13-60-64,-43.53851111111111
words-BABEL-BP-101-90393-20111103-165919-outLine-60-64-64-95,-42.98986046511628
words-BABEL-BP-101-90393-20111103-165919-outLine-64-95-69-61,-42.24336956521739
words-BABEL-BP-101-90393-20111103-165919-outLine-74-23-77-42,-55.372064516129036
words-BABEL-BP-101-90393-20111103-165919-outLine-77-42-80-42,-51.220400000000005
words-BABEL-BP-101-90393-20111103-165919-outLine-80-42-87-45,-49.47157142857143
words-BABEL-BP-101-90393-20111103-165919-outLine-95-7-104-09,-50.045060240963856
words-BABEL-BP-101-90393-20111103-165919-outLine-104-09-110-92,-46.66338235294118
words-BABEL-BP-101-90393-20111103-165919-outLine-110-92-116-08,-47.38072549019608
words-BABEL-BP-101-90393-20111103-165919-outLine-116-08-121-88,-40.65782456140351
words-BABEL-BP-101-90393-20111103-165919-outLine-121-88-128-87,-36.08352173913043
words-BABEL-BP-101-90393-20111103-165919-outLine-133-1-141-73,-42.45924418604651
words-BABEL-BP-101-90393-20111103-165919-outLine-141-73-147-49,-42.26961403508772
words-BABEL-BP-101-90393-20111103-165919-outLine-147-49-155-74,-38.83090243902439
words-BABEL-BP-101-90393-20111103-165919-outLine-155-74-160-17,-44.655840909090905
words-BABEL-BP-101-90393-20111103-165919-outLine-160-17-169-17,-49.50736666666666
words-BABEL-BP-101-90393-20111103-165919-outLine-181-5-188-29,-40.52205970149254
words-BABEL-BP-101-90393-20111103-165919-outLine-188-29-196-47,-41.96680246913581
words-BABEL-BP-101-90393-20111103-165919-outLine-203-78-208-87,-38.3014
words-BABEL-BP-101-90393-20111103-165919-outLine-208-87-216-43,-44.22422666666667
words-BABEL-BP-101-90393-20111103-165919-outLine-216-43-220-28,-44.45821052631579
words-BABEL-BP-101-90393-20111103-165919-outLine-220-28-227-95,-45.91117105263157
words-BABEL-BP-101-90393-20111103-165919-outLine-227-95-236-75,-46.57886363636363
words-BABEL-BP-101-90393-20111103-165919-outLine-236-75-245-44,-48.6915
words-BABEL-BP-101-90393-20111103-165919-outLine-245-44-249-14,-50.29211111111111
words-BABEL-BP-101-90393-20111103-165919-outLine-249-14-252-62,-48.027794117647055
words-BABEL-BP-101-90393-20111103-165919-outLine-252-62-259-22,-42.09134848484848
words-BABEL-BP-101-90393-20111103-165919-outLine-259-22-263-92,-33.92169565217391
words-BABEL-BP-101-90393-20111103-165919-outLine-263-92-268-78,-44.480333333333334
words-BABEL-BP-101-90393-20111103-165919-outLine-268-78-277-2,-41.482035714285715
words-BABEL-BP-101-90393-20111103-165919-outLine-277-2-280-65,-49.427470588235295
words-BABEL-BP-101-90393-20111103-165919-outLine-280-65-284-46,-44.275921052631574
words-BABEL-BP-101-90393-20111103-165919-outLine-284-46-289-0,-44.47584444444445
words-BABEL-BP-101-90393-20111103-165919-outLine-296-48-305-05,-43.41635294117647
